EPA Facility ID,NAICS Code
100000024289,31171
100000079201,42269
100000128792,22132
100000231466,22111
100000197985,49319
100000218702,42469
100000162691,311712
100000219051,221112
100000237004,42441
100000225437,31171
100000221887,31171
100000207705,31171
100000208704,31171
100000212147,31171
100000229326,45431
100000054718,31171
100000152201,31171
100000046407,31171
100000057779,31171
100000090527,42269
100000097691,21222
100000238922,31171
100000241874,31171
100000083036,21113
100000150034,325311
100000142357,32411
100000061336,22131
100000035678,31171
100000173974,31171
100000217598,31171
100000143515,31171
100000171574,311712
100000165849,31171
100000052747,31171
100000176132,31171
100000148592,31171
100000181304,31171
100000227275,31171
100000225151,31171
100000208802,31171
100000217712,31171
100000069864,32411
100000233348,32411
100000231297,21113
100000252718,42471
100000241954,32512
100000160504,311712
100000113003,31171
100000185836,31171
100000244121,21111
100000252683,21112
100000252692,21112
100000211996,21111
100000241801,21111
100000212003,21111
100000177471,21112
100000024252,31171
100000156724,311712
100000218052,31171
100000182811,31171
100000023654,31171
100000194773,22131
100000013521,31171
100000212888,32411
100000218123,31171
100000252709,42471
100000209179,31171
100000071174,311999
100000248591,325412
100000218007,311991
100000052541,311615
100000065234,311615
100000156163,22132
100000159623,49312
100000071842,22131
100000231796,311991
100000166287,42471
100000166287,482111
100000208946,22111
100000118366,22131
100000118419,22132
100000048717,22131
100000072663,327992
100000067875,22132
100000178942,221112
100000237291,21113
100000088255,325211
100000088255,325199
100000186069,312113
100000198243,44511
100000235756,42471
100000044828,49319
100000044828,92811
100000129844,22131
100000104157,325199
100000186951,311615
100000049173,337214
100000051926,311615
100000202675,312113
100000078738,211112
100000211852,211112
100000084339,21113
100000162717,42471
100000052836,56292
100000052836,562112
100000111149,49312
100000115074,22132
100000115001,22132
100000008751,22131
100000033493,325221
100000177998,32532
100000036472,325199
100000219444,32599
100000128541,32532
100000144015,32518
100000065261,325211
100000197609,311615
100000187488,311615
100000022487,22131
100000066019,327215
100000209776,42469
100000187219,49312
100000008706,42469
100000183776,22131
100000177104,22131
100000055423,22132
100000161157,454319
100000181876,221112
100000177168,221112
100000159589,49312
100000188361,42469
100000216232,312111
100000136863,31152
100000186425,49312
100000246165,42471
100000031397,49312
100000233268,42471
100000032001,22131
100000032056,22131
100000025563,22131
100000032261,22131
100000059795,331314
100000067438,42469
100000169934,311225
100000028837,22132
100000055815,22132
100000054683,311615
100000145425,22132
100000094159,311615
100000032332,22131
100000218356,211112
100000050375,32213
100000184294,49312
100000071334,32532
100000071334,325199
100000169122,22111
100000050776,325211
100000050776,32518
100000184971,42441
100000214537,33111
100000192392,211112
100000143276,22131
100000114949,21113
100000099877,325311
100000153638,211111
100000163271,42269
100000149314,325998
100000232367,49312
100000007182,211112
100000064413,21113
100000131234,21113
100000222074,311615
100000124304,32213
100000046915,32211
100000046915,22131
100000215901,311511
100000058643,21113
100000103899,22132
100000122315,311615
100000074359,22131
100000177453,325199
100000182358,221112
100000050794,22132
100000055049,22131
100000148404,32511
100000148404,32512
100000178265,22111
100000099779,325211
100000238851,32512
100000064761,311615
100000064761,11239
100000063094,311615
100000037774,32512
100000194201,32522
100000193364,311615
100000148388,32522
100000088184,325998
100000088184,325212
100000088184,325199
100000081092,325199
100000064235,325199
100000064235,325211
100000131635,311615
100000079461,32211
100000052435,325311
100000118972,326199
100000118972,326299
100000059982,326299
100000105101,22132
100000203763,42469
100000238744,49312
100000104433,311615
