EPA Facility ID,Chemical
100000184294,Ammonia (anhydrous)
100000071334,Ethyl mercaptan [Ethanethiol]
100000071334,Phosgene  [Carbonic dichloride]
100000071334,Chlorine
100000169122,Ammonia (anhydrous)
100000050776,Phosgene  [Carbonic dichloride]
100000050776,Chlorine
100000184971,Ammonia (anhydrous)
100000214537,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000214537,Ammonia (anhydrous)
100000192392,Ethane
100000192392,Butane
100000143276,Chlorine
100000114949,Propane
100000114949,Butane
100000099877,Ammonia (anhydrous)
100000099877,Ammonia (conc 20% or greater)
100000153638,Propane
100000153638,Methane
100000153638,Pentane
100000153638,Flammable Mixture
100000163271,Boron trifluoride compound with methyl ether (1:1)  [Boron
100000163271,trifluoro[oxybis[metane]]-
100000163271,T-4-
100000163271,Epichlorohydrin  [Oxirane
100000163271,(chloromethyl)-]
100000149314,Propane
100000149314,Isobutane  [Propane
100000149314,2-methyl]
100000149314,Butane
100000232367,Ammonia (anhydrous)
100000007182,Flammable Mixture
100000064413,Flammable Mixture
100000131234,Flammable Mixture
100000222074,Ammonia (anhydrous)
100000124304,Ammonia (conc 20% or greater)
100000046915,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000215901,Ammonia (anhydrous)
100000058643,Isopentane  [Butane
100000058643,2-methyl-]
100000058643,Ethane
100000058643,Propane
100000058643,Isobutane  [Propane
100000058643,2-methyl]
100000058643,Pentane
100000058643,Flammable Mixture
100000103899,Chlorine
100000103899,Sulfur dioxide (anhydrous)
100000122315,Ammonia (anhydrous)
100000074359,Chlorine
100000177453,Trifluorochloroethylene [Ethene
100000177453,chlorotrifluoro-]
100000182358,Ammonia (anhydrous)
100000050794,Chlorine
100000050794,Sulfur dioxide (anhydrous)
100000055049,Chlorine
100000148404,Hydrogen
100000148404,Propane
100000148404,Ethylene  [Ethene]
100000148404,"1,3-Butadiene"
100000178265,Ammonia (anhydrous)
100000099779,Chloroform  [Methane
100000099779,trichloro-]
100000099779,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000099779,Fluorine
100000099779,Vinyl chloride  [Ethene
100000099779,chloro-]
100000099779,Vinylidene fluoride [Ethene
100000099779,"1,1-difluoro-]"
100000099779,Tetrafluoroethylene [Ethene
100000099779,tetrafluoro-]
100000099779,Ethylene  [Ethene]
100000238851,Hydrogen
100000064761,Ammonia (anhydrous)
100000063094,Ammonia (anhydrous)
100000037774,Ammonia (anhydrous)
100000194201,Acrylonitrile  [2-Propenenitrile]
100000193364,Ammonia (anhydrous)
100000148388,Acrylonitrile  [2-Propenenitrile]
100000088184,Vinyl acetate monomer  [Acetic acid ethenyl ester]
100000088184,Vinylidene fluoride [Ethene
100000088184,"1,1-difluoro-]"
100000088184,Propylene  [1-Propene]
100000088184,Trifluorochloroethylene [Ethene
100000088184,chlorotrifluoro-]
100000081092,Propionitrile  [Propanenitrile]
100000081092,Acrylonitrile  [2-Propenenitrile]
100000064235,Formaldehyde (solution)
100000064235,Ammonia (conc 20% or greater)
100000131635,Ammonia (anhydrous)
100000079461,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000052435,Ammonia (anhydrous)
100000118972,Chlorine
100000059982,Ammonia (conc 20% or greater)
100000059982,Propane
100000105101,Sulfur dioxide (anhydrous)
100000105101,Chlorine
100000203763,Propane
100000203763,Acetylene  [Ethyne]
100000238744,Ammonia (anhydrous)
100000104433,Ammonia (anhydrous)
100000241311,Chlorine
100000240562,Ammonia (anhydrous)
100000107136,Chlorine
100000104674,Sulfur dioxide (anhydrous)
100000104674,Chlorine
100000105824,Sulfur dioxide (anhydrous)
100000105824,Chlorine
100000064002,Chlorine
100000235248,Formaldehyde (solution)
100000006799,Chlorine
100000156966,Chlorine
100000237996,Chlorine
100000142534,Ammonia (anhydrous)
100000059973,Ammonia (conc 20% or greater)
100000059973,Propane
100000074224,Ammonia (anhydrous)
100000226365,Ammonia (anhydrous)
100000072734,Propane
100000072734,Flammable Mixture
100000211656,Flammable Mixture
100000247761,Chlorine
100000084222,Flammable Mixture
100000231439,Ammonia (anhydrous)
100000125893,Ammonia (anhydrous)
100000125893,Ammonia (conc 20% or greater)
100000006334,Chlorine
100000006414,Chlorine
100000006352,Sulfur dioxide (anhydrous)
100000006352,Chlorine
100000081877,Ammonia (anhydrous)
100000158189,Ammonia (anhydrous)
100000144934,Chlorine
100000161086,Ammonia (anhydrous)
100000157572,Chlorine
100000123895,Sulfur dioxide (anhydrous)
100000123895,Chlorine
100000123895,Propane
100000073699,Flammable Mixture
100000170076,Ethane
100000170076,Propane
100000170076,Isobutane  [Propane
100000170076,2-methyl]
100000170076,Butane
100000170076,Pentane
100000170067,Flammable Mixture
100000158009,Chlorine
100000035375,Chlorine
100000036169,Chlorine
100000033894,Chlorine
100000035482,Chlorine
100000050044,Ammonia (anhydrous)
100000235373,"Toluene 2,4-diisocyanate  [Benzene"
100000235373,"2,4-diisocyanato-1-methyl-]"
100000235783,Propane
100000159641,Ammonia (anhydrous)
100000207607,Ammonia (anhydrous)
100000247798,Ammonia (anhydrous)
100000165581,Propane
100000165634,Propane
100000195479,Ammonia (anhydrous)
100000104059,Chlorine
100000122896,Butane
100000122896,Propane
100000122896,Pentane
100000189039,Flammable Mixture
100000189734,Ammonia (anhydrous)
100000211638,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000141688,Chlorine
100000146291,Chlorine
100000101882,Chlorine
100000141312,Chlorine
100000103693,Ammonia (anhydrous)
100000072529,Chlorine
100000206412,Propane
100000059802,Ammonia (anhydrous)
100000186915,Ammonia (anhydrous)
100000041698,Chlorine
100000041698,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000245825,Ammonia (anhydrous)
100000180207,Isopentane  [Butane
100000180207,2-methyl-]
100000030824,Chlorine
100000154637,Chlorine
100000052417,Hydrogen
100000062068,Chlorine
100000078453,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000065225,Ammonia (anhydrous)
100000143686,Chlorine
100000017698,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000158303,Ammonia (anhydrous)
100000067884,Sulfur dioxide (anhydrous)
100000067884,Chlorine
100000062308,Chlorine
100000044132,Chlorine
100000044132,Sulfur dioxide (anhydrous)
100000202826,Ammonia (anhydrous)
100000202826,Chlorine
100000026438,Propylene  [1-Propene]
100000046791,Ammonia (conc 20% or greater)
100000046791,Ammonia (anhydrous)
100000207983,Propylene  [1-Propene]
100000184454,Ammonia (anhydrous)
100000044105,Chlorine
100000044105,Sulfur dioxide (anhydrous)
100000128471,Chlorine
100000030833,Chlorine
100000224241,Flammable Mixture
100000252629,Ammonia (anhydrous)
100000103906,Hydrogen
100000100393,Chlorine
100000089012,Phosphorus trichloride  [Phosphorous trichloride]
100000173581,Epichlorohydrin  [Oxirane
100000173581,(chloromethyl)-]
100000184025,Ammonia (anhydrous)
100000107467,Sulfur dioxide (anhydrous)
100000107467,Chlorine
